Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",https://www.linkedin.com/jobs?viewJob=&jobId=43010559&trk=api*a130653*s139051*
Computer Software,Sales and Marketing Superstar,"- Formulation and execution of sales strategy  - Customer Engagement and Account Management of active accounts - Creation of business partnerships with Digital Marketing Agencies and ecommerce platform vendors - Market Study and Competitor Analysis - Creation of various pricing models - Creating Marketing presence in India, Europe and US - Content Creation and presence in marketing forums - Search...",https://www.linkedin.com/jobs?viewJob=&jobId=44206558&trk=api*a130653*s139051*
Internet,Visual Designer,"Work with design and product management to create and ensure a consistent visual style to new and redesigned features Develop and maintain design wireframes, mockups, and specifications as needed. Export assets and illustrations for developers. Collaborate with other designers to maintain design consistency and coherence across the product as appropriate. Work with our social media manager to brin...",https://www.linkedin.com/jobs?viewJob=&jobId=47105214&trk=api*a130653*s139051*
"Telecommunications, Information Technology and Services",Senior Solution Architect - Voice SME,"Senior Solution Architect - Voice SME  will be responsible for -   Create prototype model for solution based on understanding of customer requirements. Provide suctioning support to sales teams for specific deals. Work with Product team to enhance the service offering . May lead important projects that require providing experienced project team members with instruction, guidance and advice in all...",https://www.linkedin.com/jobs?viewJob=&jobId=47115299&trk=api*a130653*s139051*
Computer Software,Crossover Software Architect - C# - $30/hr,"Ready to make $60,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44970039&trk=api*a130653*s139051*
Internet,Android + Ruby : Hands-On Coder / Developer,"Looking for a passioate individual to bring significant value-add to the table in the form of technology, product, passion and experience. We are preferably looking for a techie with product/brand aptitude.  You may read more about us below and then apply: Blog - https://www.linkedin.com/pulse/20141022074021-20921203-yelo-dream-big-and-leave-the-rest-on-execution AngelList - https://angel.co/yelo-...",https://www.linkedin.com/jobs?viewJob=&jobId=41696540&trk=api*a130653*s139051*
"Telecommunications, Information Technology and Services",Senior Solution Architect - Voice SME,"Senior Solution Architect - Voice SME  will be responsible for -   Create prototype model for solution based on understanding of customer requirements. Provide suctioning support to sales teams for specific deals. Work with Product team to enhance the service offering . May lead important projects that require providing experienced project team members with instruction, guidance and advice in all...",https://www.linkedin.com/jobs?viewJob=&jobId=47115299&trk=api*a130653*s139051*
Computer Software,Crossover Software Architect - C# - $30/hr,"Ready to make $60,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44970039&trk=api*a130653*s139051*
Internet,Android + Ruby : Hands-On Coder / Developer,"Looking for a passioate individual to bring significant value-add to the table in the form of technology, product, passion and experience. We are preferably looking for a techie with product/brand aptitude.  You may read more about us below and then apply: Blog - https://www.linkedin.com/pulse/20141022074021-20921203-yelo-dream-big-and-leave-the-rest-on-execution AngelList - https://angel.co/yelo-...",https://www.linkedin.com/jobs?viewJob=&jobId=41696540&trk=api*a130653*s139051*
Information Technology and Services,Frontend Developer,"What you will do # Build cross browser compatible front-end applications using HTML, CSS and JavaScript  # Develop fast and highly scalable and responsive applications  # Work closely with a cross-functional team that includes product manager, backend developers, and UI/UX designers  # Collaborate with product managers to make sure all user interactions and features are well-designed &amp; impleme...",https://www.linkedin.com/jobs?viewJob=&jobId=41694880&trk=api*a130653*s139051*
